label,description
4,"#IDPharmacist, #BCIDP, #ABXsteward, #ASP, #Antibiotika, #Apotheker, #AMS, #AMR, #BBpin22D52592, #Lifeisbeautiful"
3,The College of Physicians & Surgeons of Nova Scotia serves the public by effectively regulating the medical profession.
0,You are a child of the universe and less than the trees and the stars;
0,"Master hairstylist in lowermainland Coquitlam ,Vancouver. Blonde and Balayage specialist"
3,"Medical Student, Rutgers NJMS | Aspiring Plant-Based Surgeon | avid runner, vegan cook, and amateur artist | all opinions are my own (she/her)"
0,Human Resource Manager
0,"RMT Extraordinaire, Ordered to stop treating by the Ministry of Health until it is safe to do so again."
2,"enthusiast, nurse football,digital media,poetry,technology,people"
3,"Plastic and Reconstructive Surgeon, University of Alberta  *Views are my own* #handsurgery #microsurgery #nervesurgery"
4,Pharmacist
1,working hard for the nation as a doctor
0,I was there at the beginning. Oct 28 2017 and I will be there at the end.
0,"Home of the churchillbulldogs nOnly school in Scarborough, Ontario offering an Africentric program- check out at africentricwcci for more info"
0,Dreaming of breathing underwater
0,"Let your smile change the world, but don't let the world change your smile"
5,"MD MSc. Psychiatrist @UofT @UHN @MSH @WCH @TAPMI with interest in chronic pain, mindfulness, & psychotherapy"
0,"Teacher at NPSS. SheHer. Courses include Yearbook, Graphic Design, Animation, Art, & Technology."
2,Hockey Mom and Nurse
4,Mother. Chemistry & Biology Guru. Math Genius.Pharmacist. love nature & animals. water ballet � basketball player love reading. Swimming is my life
2,I am special because I was born to be a nurse
0,Do you have a will?  Are you going to die?  Can I get a FREE online will?
0,"CEO, President nMy Health Information Co-op"
0,"A graduate from Fourah Bay College,University of SierraA of Big Age Dreams-BAD.A freelance journalist.A teacher..An entertainer.A youth activist etc..."
3,Award winning children book by orthopaedic surgeon @carrie_kollias about bones and being brave. #STEM #ilookLikeASurgeon #WeAreAllOrtho #diversity
0,Women's health and rights advocate. Adventure. Travel. Coffee. Nature.
0,"Validating Humanity's Life Journey.nWe provide an easy to use platform to search, book and execute personalized Legacies."
2,Bio: Luminescent and serving as a nurse
3,Surgeon. Female. Canadian. #medtwitter keeps me sane. Tweets most definitely reflect the opinion of my employer.
5,"MD, Psychiatrist, North York General Hospital (specializing in mental health care for the general adult and criminal justice population)"
0,Stop being afraid of what could go wrong and think of what could go right.
0,"Media Relations with the Ontario NDP. nWriter, human. Sometimes I just sit at my desk though."
0,Canadian Military Wife and a mother of two amazing girl!  loving life everyday!
0,Mom of two amazing young men. Reluctant political junkie who worries about the well being of the world and humanity
0,have 25 years of banking experience now managing family funds and volunteer for Muslim Association of Hamilton as internal Auditor
0,"Catholic Vice Principal, Life Long Learner! Sarnia, ON "
2,"Father and nurse of a wonderful daughter, food enthusiast and some other cool stuff.nStriving to become the person my dogs think I am."
0,A biotechnology company specializing in disease bio-marker identification using Artificial Intelligence and Machine Learning.
0,Brand new Full Professor. Discovering new antibiotics. Burkholderia genome editing tools. Love mentoring the next generation of scientists and other innovators
2,I am a nurse
0,Social activist determined to improve the lives of all workers. Executive Assistant to the National President of Unifor - A union for everyone
3,"MD 2022 @WMUMedicine|OHNS Research Fellow @UCSFCancer | #MTB  Enthusiast, Craft Beer Connoisseur, Aspiring Head and Neck Surgeon | #GlobalMed"
0,A proud principal of Stephen Leacock C.I.
0,Hair Nerd  Education Junkie  Owner of GUIDE Hair Salon  Educator for L’Oreal Pro 🇨🇦
4,Lawyer and pharmacist focusing on the regulation of health products and healthcare in Canada.
4,The MTS Clinic is a 'pharmacist clinic' which offers one-on-one appointment-based patient consultations with pharmacists in a private clinic environment.
4,Clinical pharmacist
0,lovely...funny...caring...polite...beach lover...cat lover...dog lover...sister...mother...daughter
0,Obsession with Love & Balance!;
0,Owner at Lion Property Management Group.
0,Views expressed are my own.
0,Be Good!!!  Do Good!!!!
2,
3,Dad | General Surgeon | Surgical Oncology Fellow
0,"Social Worker, mother, wife, educator, and lover of books, beer, fitness and chocolate."
0,"We are dedicated to improving connectivity in eastern Ontario, supporting economic growth and enhancing quality of life.nAccount monitored Mon-Fri, 9-5."
3,"Orthopaedic Surgeon, husband, father"
0,Responsible for what I say but I am not responsible for what you understand
4,pharmacist
0,"Mildly hyperactive outdoors enthusiast, avid runner, coffee aficionado, kid doctor, graduate medical student and a doctor"
0,"The past is over, learn from it. The future is coming, prepare for it. The present is here, enjoy it."
0,Love to live life!  Loose yourself in the moment - you own it!
0,"Directeur Médical CSSJ , Entrepreuneur,"
0,Freelance Copywriter and Editor
1,"American by birth, (newly) Canadian by choice and a Doctor"
0,"Propeller Dance is committed to excellence: creating, teaching, performing & presenting integrated contemporary dance. nWitness the 'Power of Possibility'!"
0,Self Employed
0,"Fight for Global Liberty, Wake up Sheeple (sheep people), The Positive Resistance Q. Where we go one we go all."
0,"Advocate for social justice, homeless intervention, housing, gender, inclusion and diversity.  Views are my own! "
0,"Canada will be a strong country when Canadians of all provinces feel at home in all parts of the country, and when they feel that all Canada belongs to them."
2,Momma and nurse of  two beautiful girls!
3,"Former surgeon and health system leader. Current grandpa. Advocate for universal, sustainable and excellent care that will be there for our grandchildren."
5,"Associate Psychiatrist-in-Chief, The Hospital for Sick Children, Author and Creator of Taming Sneaky Fears Program "
0,"Future knight, published author, and resident of the Alps (in that order)."
0,"Canada 🇨🇦, Trucker,"
2,just being myself as a nurse
0,"Hate to love the Leafs but no choice. AME, Flight Engineer, Tech Writer. SPWC rescuer (including bats & snakes).nTrees gather in the forest."
0,Liquor Lady.
0,Row row row your boat gently down the stream....merrily merrily merrily life is but a dream!!
0,Oncology Medical Advisor
0,“I can't go back to yesterday because I was a different person then.”
0,I'm ready to spoil all my sugar babies. just text me through my WhatsApp number
5,"Child and Adolescent, Adult & Addiction Psychiatrist. Thinker of many thoughts. Rare divulger of thoughts. Maybe Twitter will change that."
0,"Good environmental choice. As a manufacturer of saliva ejectorsaspirator tubes, we consider environmental sustainability to be of great importance."
5,"Mental Health and Special Need Advocate, Mary Kay Beauty Consultant and Ambassador. Psychiatrist and more in the making. Miss World Canada Quebec Finalist 2018."
4,Pharmacist
2,"I am a Certified Nurse! A bee keeper, love books,music,art. Raindrop, The Reconnection and a Litios Light Facilitator! Love every moment!"
0,The natural solution to UTI & BV infections is here
0,I think I am diagonally parked in a parallel universe
2,"Everything. Nothing. A few things, several or many things. Lots of things, most things and all things. Just things.working as a nurse"
0,Artist wanting desperately to stop worrying about Trump & Thugs Inc. Snowflake au boutte.
0,Make sure you get all the facts.They are not looking out for you like they used to.
4,"Introverted much. Love water, beaches, warm weather, thunderstorms, flowers, candles, music, & perfume. Pharmacist"
0,Marketing Guru
0,Happy to be!  Thoughts and opinions are my own.
0,Facilities and Admin Manager
0,"President & CEO of NHI Nursing & Homemakers Inc,  staffing agency and provider of home care nursing services since 1985."
0,"“Love is not only something you feel, it is something you do.”"
0,"RN, BScNnPaediatric ER Nurse nCurrent Athabasca Master of Nursing student"
0,"Blessed to be married to my best friend, Clint! Momma of Brady & Kyra  & the luckiest Principal EVER!!"
5,"Child psychiatrist, total geek, Disney fan, Hufflepuff  for life, cancer momma to angel warrior  National Park Geek, Broncos fan, need I say more "
3,Dental surgeon
1,doctor and a mother to a beautiful little girl;Vancouver island
1,"Smile and wave, serving the nation for 37 years as a doctor"
3,"Rising MS4 at @PonceHealthSU. #Feminist. Aspiring #ENTSurgeon. @hfyso_phsu co-founder. #ProudPuertoRican Passionate about #WomeninSurgery, #MedEd, and #Wellness"
0," Leaf fan, and family guy. (Working from home ain’t half bad - donot need to shower or shave every day, that’s cool.)"
0," Ph.D. Geospatial everything. Maps, cats, arts. "
0,"Brazilian by birth, Canadian by choice. Dog mom, vegetarian, lover of all animals, the beach, science and technology Toronto, ON"
0,"Skyline Living provides homes for over 30,000 residents across Canada!"
3,"Dr Amato : Urologist Surgeon , Endourology. Member of the American Urological Association (AUA) , Endourological Society and EAU."
0,Always writing on trains
3,General Surgery Resident | Aspiring Cardiothoracic Surgeon | CaleÃ±a
0,I am child of God
0,"Freelance Editor, Proofreader, Artist, and Writer. I edit and proofread other people's written word. Please DM me for further details."
3,"Dental Surgeon by training, pursuing Health Studies @UofRegina -KHS. Foodie and travel enthusiast"
0,I am digital Marketing  provider
0,"Whatever  you  do  in life will be insignificant...but it's important you still do it, because no one else will..."
0,"RETIRED Grade 3 teacher, teaching through social justice lens for First Nations + sustainable living = my stamp on my world. RETWEETS ARE PERSONAL"
0,"Occupation: Building constructionSite Foreman wit a difference.Skills:*Ability to read& interpret diverse designs*Proficient in MS office.Speaks,HausaIgboYor"
1,Employed as a doctor for more than 28 years
0,my opinions are my own
4,A. Pharmacist
0,Educator and avid reader of YAL.
0,"Professional Makeup Artist ~ nBridal, Commercial, Editorial, HD and Airbrush makeup."
5,"To strive to provide dignity in suffering and equity in care. Consultant Psychiatrist & Past President of @CPA_APC, @nb_docs Board. https://t.co/Ds3WCyECP3"
0,Software Developer -- IBM Hybrid Cloud
0,Canadian Australian HKer (scientisttherapistwritersong-writer) loving HK. Fight for international support for HK!
0,"Twin Mom, Disney Lover, Crazy Dog Lady, tech nerd"
0,Torontonian  Former politico
4,"Pharm.D. owner and friendly pharmacist at Brentwood Pharmacy Burnaby B.C. Husband to most amazing wife, Father to two amazing boys."
0,illinois_alma MBA BS Engineering Computer Science
0,Professional EngineerBlogger
0,Do you see the big picture?
2,"Born in Malta . Reside in Toronto, Ontario, Canada Enjoy's the Outdoors, the Arts, Music. Philosophy .and enjoy's being with family and friends.and serving as a nurse"
0,Teacher passionate about creating inclusive environments for all and raising awareness about mental health
0,"Travel, sports, foodie, languages, family, social worker & culture Toronto born...ItalianGerman raised,Newfoundlander by choice."
0,"Former community pharmacist, current MSc Psychological Studies (Conversion) student at the University of Glasgow, aspiring health psychologist."
4,PHARMACIST / GO-GETTER / ENTREPRENEUR / DISRUPTER OF STATUS QUO / LEADER / ACTIVIST.
0,Integrity and honesty are the foundation of our business. We are a mortgage and investment company.
1,"Born and raised in Montreal, QCfinally I am a Doctor"
0,wifemotherdaughteroffice-worker member of SA
0,Just doing better every day
0,Are you studying online and need assistance on HSE subjects or Modules.nContact for online assistance or zoom appointment
0,"Mom, Banker, Cook, Maid, Student, Server, Wife, Grandma  Constantly Changing - Constantly Evolving"
3,4th year med student @medicinaufmg research student at ELSA-Brasil with scolarship from @CNPq_Oficial | aspiring surgeon | tweets are my own
3,"Orthopaedic Sports Medicine Surgeon with special interest in complex knee surgery, adult and paediatric sports medicine and traumatology"
0,"19 yo dumbass in ontario,dream to be a doctor one day"
1,"always looking for the best food, food lover, doctor"
0,With God All things are possible.!!
0,Mask makers situated in the Peel Region trying to donate cloth masks with a filter pocket to places that need them most.
0,Tea is brewing
3,"4th year med student @umichmedicine, soon-to-be general surgeon. Interested in medical education, health literacy, and language as a barrier to healthcare."
4,Aspiring pharmacist
0,Lies are the Virus Truth is the CurenWake Up World! Liverpool Supporter
5,I am a paediatric psychiatrist in Vancouver BC.
0,Creating Through COVID  Connecting ALL Healthcare Professionals  & Frontline Workers Globally. Combating COVID-19 Using  the Arts. Submit Your Work.
0,"Meteorologist, libertarian, investor, musician, avid follower of financial markets.  PaleoPrimal living."
0,"Avid dragon boat paddler.  Live, love, laugh!  "
0,Our guests help explain scicomm to the masses AND how civictech is solving complex problems in the problems in communities and government alike.
0,Conversations overheard in the National Capital Region. (Obviously not an official Government account)
0,I usually post here when I get tired of talking to myself. Socially awkward.
3,"Orthopedic Surgeon,FRCSC,American Board certified. Aleppo University Hospital and CEO Al Salam Hospital , Former President of The Syrian Orthopedic Association."
0,I am just a disappointed and sad Indian. This is not my India.
0,Custom Woodworking.
0,Scholar
0,"Executive Director of the Ontario Professional Planners Institute, the voice of Ontario's Planning Profession"
0,civil engineer and a Proud citizen
4,"Pharmacist, Wife, Mother + Daughter. Proud Hamiltonian + Ti-Cat Fan!"
0,Canadian certified occupational health nurse.
0,Official account of the Embassy of Canada in France
1,Proud Canadian and a doctor by profession
0,Train In Vain
0,"Luxury Casino Tables. We bring the Ultimate Casino Experience to you. Perfect for Weddings, Corporate Events, Parties & Fundraising Charity Events "
0,"Team of 60+ partners from Huron Perth & Area working together to create a more seamless, coordinated health system for patients, families and caregivers."
0,Official account of Ontario’s Ministry of Infrastructure.
0,PR  freelance writer  world traveller with a severe case of wanderlust. My views are my own.
0,"Immigration AttorneyHuman Resources. Providing Guidance And Instructions To Applicants Applying For Canada, Australia, New Zealand."
0,Tell the truth!
0,Proud Canadian woman Professional Psychotherapist Sharing education and ideas Forever an optimist and a believer in good nCaring and supporting people
0,Chatham-Kent and Lambton County's Music Variety  Locally Owned and Operated  Local News & Real Variety
0,Independent Photographer:  I am currently exhibiting and marketing a collection of my work.  Hope to see you on the trail. Stay Safe!
4,Pharmacist
0,"I am a Clan Collector who loves solving genealogical mysteries, one clue at a time. Once I am on to a lead I hyperfocus till its solved."
0,Jesus is Lord forever. Accept Jesus and save your soul!
4,Pharmacist. Future herbalist...
0,Professional Graphics Designer  !
0,Husband and father. RS Learning Services - Independent Training Consultant.
0,Kia Ora!nnHE Martin Harvey is New Zealand’s High Commissioner to Canada.
0,Middle School Teacher with PDSB.
0,Buy Pakistan Is Largest Online Shopping Network In Pakistan With Cash On Delivery Service
4,"Concierge Pharmacist & Patient Advocate; @NSUFlorida adoptee; Alumna @UMich, @unmc, @HowardU; Always Grateful! Opinions = mine. RT, likes not E."
0,XFM News is staffed by Journalism-Broadcast students at FanshaweCollege
2,"Dad, Husband, Brother Nurse"
0,For those about to rock...i salute you
0,A Healthy Living App aimed to promote nutritionally balanced eating in students
3,"Ear, Nose and Throat (ENT) Surgeon"
3,Incoming Surgery Resident @BCMHouston | Graduate of @McGovernMed | Graduate of @RiceUniversity | All views my own. #ILookLikeaSurgeon
3,"Colon and Rectal Surgeon, Teacher, Learner, Friend, Husband, Dad."
0,"Public Health Nurse.  Mother  “I am still learning,”  Opinions shared here are my own."
5,"Psychiatrist  Bestselling Author  Keynote Speaker  Media Expert  Mom of 3!  Creator @Dolphin_kids   ""Mental Wealth"" w/ Dr. Shimi Kang on Youtube"
0,"Autism Mom, Hospitality and Tourism Professional, Strategic Marketing, Socialmedia"
3,CJS/JCC contributes to effective continuing medical education of surgical specialists and provides surgeons with a vehicle to disseminate research
0,NCGC is a leader in engaging Northern Canadians on issues of global social justice and sustainability.
0,I am a long haul truck driver in uae
0,Deputy Chief of Paramedic Services Manitoulin-Sudbury District Services Board. Board Member Public Health Sudbury & Districts.
3,"Rising M4, @MedicalCollege | Aspiring surgeon | President & Founder, Designing Dreams | Dog mom | Art & design | QI | Health & wellness #medstudenttwitter"
1,Native Canadian and a Doctor
2,Nurse
3,General Surgeon/ Genel Cerrah
0,Christian + Husband + DadnGPHR. SHRM-SCP. ACIPM. HRMPnAuthor  Speaker  TrainernHuman Resources Corporate Responsibility  Leadership Real Estate  Education
0,Assistant Professor in Radiation Biophysics at the Northern Ontario School of Medicine
0,"Researcher and specialist in Bioethics & Health Policy, Global Health Inequities, Health & Social Justice and Indigenous Populations Health Ethics"
4,Friendly neighborhood pharmacist
0,Info junkie  STEM cheerleader  Gender equality  Being good to world  Made of Stardust Love Nebulae  ImmigrantnEng & Fr.
3,Pediatric Surgeon - I believe that do the changes you want to see in the world... Makkah
0,Canadian centrist. Social media-averse. Here to learn how to fight back against the clear & present danger of information warfare.
4,"Former community pharmacist, current MSc Psychological Studies student at the University of Glasgow, aspiring health psychologist. "
0,Fulfilling all intimate apparel needs with comfort and styling that appeals to the every day woman of all ages for over 35 years
0,Rainbows and lollypops.
0,When you stop chasing the wrong things
0,middle age author
3,Retired Family MD & Surgeon
1,Doctor at HRH & Halton Healthcare
3,Consultant Thoracic Surgeon
0,"Lover of God, ¤Professional Accountant, President, Valuable Generation Foundation, Encourager"
0,"Spiritual Ontologist, Senior Analyst, French Acadian"
0,"Born in 1993, George Chartouni is a Lebanese chef who grew up under the kitchen table"
0,I love to know about what is happening in the world. I welcome many levels of learning and many experiences.
0,"Live, love, Laugh, Listen,Always forgive, And never give up, Always be your best."
0,"New pants are always new pants 'til you get new pants.nand yes, the facial expression is permanent."
4,"Pharmacist, professor, specialist in geriatrics. #Pharmacy, #Older, #AgingResearch, #Geriatrics"
0,Love the Beautiful Game!
4,"Pharmacist, loves football !"
1,"Wife, mother, quilter, camper, cottage, doctor and dog person"
1,working for 25 years as a doctor
1,"Is it time yet? Book Launch March 2021 Lover of God, Light, Water, PlantsDoctor"
0,"Human being, Med student. In that order. interested in becoming a doctor"
3,"Crabbit old fart, intolerant to Sloth. We General Surgeons have a best before date on the back of our neck, everyone else can see it. ....."
0,"the fact that people know the truth about life, but are to afraid to face the reality. ill help you express your inner feelings and thoughts aloud."
0,"I am a wife, mom, teacher, and coach!I have a passion for learning, I'm an advocate for my kids with ASD & SPD and I'm a self-care & wellness enthusiast!"
0,Fourth Year Education Student nHealth major nSocial studies minor- becoming more important in my life every day
5,"I am Dr Haresh Makhija consultant Psychiatrist, [MBBS, MD(USA), FCPS(Psychiatry)] working as Assistant Professor and HOD at Khairpur medical college."
0,"Fitness & Dance Instructor, loves to cook, bake & plays piano."
0,dream and live that.
1,hard working fun loving kind of guyDoctor
0,Covid-19 Sanitation is at the top of it's class when dealing with biohazardous contamination. Give us a call to book an assessment.
0,Social activist. Pop art fan. Health scientist.
3,"General Surgeon. Researcher. Member of SAGES, SLS, SBH, SOBRACIL. Research fellow, Department of Surgery, Montefiore Medical Center, New York"
0,Foodie Cloth Diaper Momma Baby wearer
0,"Supporting families through healthcare policy, Proud Mommy, New England girl at heart, opiniontweets is mine and personal, RTs are not endorsement, sheher"
0,Being a Nana and retired.
0,"Get your facts first, then you can distort them as you please."
0,"Fun to be with, smart and a fashionistas,business lady"
0,Passionate Realtor serving my home town since 2005.
0,New Dad. Husband. VP at PBLinsurance Big Brother
3,"Plastic Surgeon in Toronto, Canada. Specializing in aesthetic #plasticsurgery. #rhinoplasty #facelift #breastaugmentation #tummytuck #liposuction"
0,On the other side of hard work is everything you’ve ever wanted.
2,No thoughts just serving as a nurse
5,"Psychiatrist. Sports. Mental fitness. Mental health expert. Limbus Founder. Prescriber of exercise, boundaries, and Prozac. Dog walker. Daily dance parties."
3,"proud dad, sports nut, eye surgeon, love the Wall Street casino (and yes, always fighting hard!)"
0,"A student group at UofT that supports Hemoglobal, a registered Canadian charity that helps individuals affected by blood diseases in Sri Lanka and India."
0,"Established in 1958,. We are International Travel Expert Planners specializing in Groups, Cruises, Destination Weddings and Customized Travel World Wide."
0,"Grateful husband,dad,grandfather and leader,enjoying MTA and Sackville NB, getting things done with others and working to make a difference where I can."
4,"Humble, Enthusiastic, pianist, pharmacist, Basketballer and easy going with great sense of humor"
1,Animal & nature lover. Respect humans who behave like humans. I love my job as a doctor
0,"mother, daughter, granddaughter,  grandmother, aunt and sister. CEO and referee of motherhood."
0,I like to play pc games .. and I'm great at fortnite ..I plow snow in the winter and STREAM on my spare time when I can trying to make a following
4,pharmacist
0,"Sinkin' Ink Tattoos, Hamilton, Ontario, Canada"
0,"First Response SuppliesnPPE, Consumables and Equipmentnfor Medical Staff and First Responders."
0,Tweets are my own.
0,"Retired Firefighter, Paramedic..."
3,MS4 @PonceHealthSciencesU. Penn State Alumni. Advocate of quality medical education and under-represented minorities in medicine. Aspiring #surgeon
0,"Criminal law, feminism and mental health law"
0,"Aspirant translator  who likes fashion, languages, music, travelling, reading and cats"
0,Python developer with an interest in systems architecture + a monoid in the category of endofunctors. Opinions are my own
2,I am a nurse
2,I am a kind nurse
0,"Proud Canadian, Albertan & Father. practice partisan lifestyle & political common sense.  Federal Conservative Party & UCPAB Member.  "
3,"physician, Orthopedic surgeon #MEDCENTER - MEDlab ORTHO"
0,"practitioner, things that amaze me, I share what I am learning with the occasional core dump."
0,Executive
3,"Otolaryngologist - Head and Neck Surgeon, rhinologist."
0,"Stock Trader OTC, NASDAQ & FOREX. Due Diligence on your part is essential. *Not a Financial Advisor so all tweets are IMHO."
0,"Fueled by social impact, informed by scholarship on decision science, behavioural economics and neuroscience. Working at at TheDecision_Lab, tweets is my own."
0,"MD, Toronto, OntarionCardiology, Interventional Cardiology, Intravascular imaging"
3,"3rd year medical student (Royal College Of Surgeons in Ireland), Research assistant (Ottawa Hospital Research Institute)"
1,This is my life as a doctor
5,Resident psychiatrist |Public Health Pro| #HealthEquity and #RacialJustice advocate|@Spotify says I'm a stan of @thenational | Guitarist | Views my own. He/Him
5,"Associate Psychiatrist-in-Chief, The Hospital for Sick Children, Author and Creator of Taming Sneaky Fears Program "
0,"Just keep moving forward and do not give a shit about what anybody thinks. Do what you have to do, for you."
2,Nurse by profession.
4,Pharmacist | Retail Professional | Brother & Son | Sailor | Scuba Diver | Adventurer
0,single mother
2,"Son, Brother, Husband, Father of 2 great boys and a nurse"
0,"Flip-flop wearing activist, mom, wife and director of Play_for_Peace "
0,Always searching
0,"Do justly, love mercy, walk humbly"
0,"Give me a book and you'll loose me to another World, but you may win my heart."
3,Neurosurgeon
3,Vascular & Endovascular Surgeon Division of Vascular and Endovascular Surgery - Scarborough Health Network - Toronto.
0,"Lives vicariously, Donot think for a second, I actually donot care what you have to say..."
4,Pharmacist and crusader of evidence-based medicine. He/him. Tweets are my own. #StaytheBlazesHome
4,Pharmacist
0,"Just one heck of a nice guy. Like good conversation, humour, food and a nurse."
0,We offer extensive services like Website Development
5,Rising MS4 at PHSU and aspiring #psychiatrist with special interest in #womenmentalhealth. Lover of musicals and a proud #ArabAmerican  views are my own
0,"Teaching professor at UCalgary, biochemist, 3M teaching fellow, director of SAGES grad student teaching development program. Love flipped learning, baking and cats"
0,We care.
1,"Critical Thinker, Free Soul, Passion for Infectious Diseases, Doctor"
4,clinical pharmacist
3,Bariatric Surgeon at UCLH. Author of Why We Eat Too Much out 2nd January https://t.co/tm1lWomuVn. Views are my own
0,"Dad, husband, son, brother. Flames fan! Alberta born, proud Canadian!"
3,National Health Service Corps Dentist currently working at a Federally Qualified Health Center (FQHC). Aspiring Oral and Maxillofacial Surgeon.
0,"Nurse & mom to Autumn in Nova Scotia...Love-The Walking Dead,This Is Us and Y&R.nHockey is a lifestyle, love the Pittsburgh Penguins & Sidney Crosby"
1,"Muslim, Sunni and a Doctor"
5,Psychiatrist. Interested in the future of human race and the evolution of psychiatry. All opinions are my responsibility only.
0,Woman on a mission to lose weight once and for all!
0,I am an Early Childhood Educator (ECE)
0,Aviation History Addict
3,"Father, husband, orthopaedic surgeon, basketball fan. I like cold brew and my sous vide. And Bitondoâ€™s za. All views are my own."
2,"Kinda boring,  learning to live as a nurse"
0,retired love politics kindness is always best
0,Ecologist at eebtoronto. Studies: mosquitoes and malaria with math and stats. Likes: teddy bears. Hates: cinnamon. Sheher.
0,Computer Engr
4,"Pharmacist interested in the application of Artificial Intelligence, Deep Learning and Precision Medicine to new drug development, diagnostics and therapeutics."
0,Student at at UBC Faculty of ScienceAspiring towards a career in AcademiaStar Trek Aficionado. HarmonicistnDependent on 99% dark chocolate
0,"Assistant Professor, University of Alberta. Research in “Hybrid and smart system design and development for enabling Industry 4.0 in our society.”"
3,"Husband, Dad, Surgeon, Medical Regulator, lover of literature, theatre and dogs. Tweets are my own."
0,Basketball Vancouver Canucks Comedy Food MLB NBA Canada News Canadian Politics TV Shows NHL NFL Soccer Movies Music UFC
1,serving humanity for over 35 years as a Doctor
0,The Adolescent and Young Adult (AYA) Oncology Program at the Princess Margaret Cancer Centre for patients under 40
0,Passionate about technology and innovation.  Excited by revolutionary steps forward in manufacturing.  My tweets are my own and do not reflect my organization.
0,Life is beautiful
0,"Real estate lawyer,Toronto Star real estate law columnist, industry speaker, media personality. Ex-officio director of the LawSociety of Ontario"
2,Ninja Nurse
0,My health is the most precious of all treasures
0,I’m a Baba who is Blessed by the Best !
0,Everything has beauty but not everyone sees it
0,Keeping it real!!!
0,Fucking drunk
0,"Ph.D in Clinical Biochemistry. Postdoc in Pharmacy College, University of Manitoba. Working on evaluation of nanoparticles in dynamic microfluidic platforms"
0,Our political leaders are failing us.Making decisions based on harmful globalist agendas not what is best for the Canadian ppl.Are we the true north strong and free?
0,"Sheher. Opinions are my own.nMom. Public servant. Feminist. Ally. I love photography, food, kids, traveling and PEI, Canada!"
3,"Dr Maran, a Bariatric Surgeon by passion, #Gastro Intestinal Endosurgeon by interest. Springfield Wellness Centre at Chennai is my endeavor."
4,"Egyptian and Canadian , pharmacist and mother, thinking too much with hands full and I am muslim and proud!"
0,"A marketing, communication and digital media enthusiast who's passionate about my community, education, and the martial arts."
0,"I am a realtor in the GTA assisting clients buy, sell and lease residential and income properties."
0,Retired MEA.lebanon
1,"Hospital Dentist. Interested in Oral Medicine, health policy, and access to care. doctor"
0,Aspiring to be a nurse
0,"A health Coach, A promoter of organic health products and Consumables, A network marketer,"
3,"The leading provider of online Foot & Ankle educational information for surgeons, created by surgeons. Sign up today for free tutorials, videos & more."
